Figure,Setting,Indicator,Group,Subgroup,Time,Start_Time,End_Time,Value,Measure
0,ED,,,,12,03/18/2020,03/24/2020,17952.0,Number of encounters
0,ED,,,,13,03/25/2020,03/31/2020,14858.0,Number of encounters
0,ED,,,,14,04/01/2020,04/07/2020,13080.0,Number of encounters
0,ED,,,,15,04/08/2020,04/14/2020,12743.0,Number of encounters
0,ED,,,,16,04/15/2020,04/21/2020,12984.0,Number of encounters
0,ED,,,,17,04/22/2020,04/28/2020,13671.0,Number of encounters
0,ED,,,,18,04/29/2020,05/05/2020,14441.0,Number of encounters
0,ED,,,,19,05/06/2020,05/12/2020,14360.0,Number of encounters
0,ED,,,,20,05/13/2020,05/19/2020,15925.0,Number of encounters
0,ED,,,,21,05/20/2020,05/26/2020,17111.0,Number of encounters
0,ED,,,,22,05/27/2020,06/02/2020,17690.0,Number of encounters
0,ED,,,,23,06/03/2020,06/09/2020,18471.0,Number of encounters
0,ED,,,,24,06/10/2020,06/16/2020,19048.0,Number of encounters
0,ED,,,,25,06/17/2020,06/23/2020,19302.0,Number of encounters
0,ED,,,,26,06/24/2020,06/30/2020,20754.0,Number of encounters
0,ED,,,,27,07/01/2020,07/07/2020,20776.0,Number of encounters
0,ED,,,,28,07/08/2020,07/14/2020,20512.0,Number of encounters
0,ED,,,,29,07/15/2020,07/21/2020,20492.0,Number of encounters
0,ED,,,,30,07/22/2020,07/28/2020,20226.0,Number of encounters
0,ED,,,,31,07/29/2020,08/04/2020,20107.0,Number of encounters
0,ED,,,,32,08/05/2020,08/11/2020,20431.0,Number of encounters
0,ED,,,,33,08/12/2020,08/18/2020,20361.0,Number of encounters
0,ED,,,,34,08/19/2020,08/25/2020,20517.0,Number of encounters
0,ED,,,,35,08/26/2020,09/01/2020,20479.0,Number of encounters
0,ED,,,,36,09/02/2020,09/08/2020,20520.0,Number of encounters
0,ED,,,,37,09/09/2020,09/15/2020,20745.0,Number of encounters
0,ED,,,,38,09/16/2020,09/22/2020,20238.0,Number of encounters
0,ED,,,,39,09/23/2020,09/29/2020,20742.0,Number of encounters
0,ED,,,,40,09/30/2020,10/06/2020,20465.0,Number of encounters
0,ED,,,,41,10/07/2020,10/13/2020,20928.0,Number of encounters
0,ED,,,,42,10/14/2020,10/20/2020,20267.0,Number of encounters
0,ED,,,,43,10/21/2020,10/27/2020,19925.0,Number of encounters
0,ED,,,,44,10/28/2020,11/03/2020,19232.0,Number of encounters
0,ED,,,,45,11/04/2020,11/10/2020,20069.0,Number of encounters
0,ED,,,,46,11/11/2020,11/17/2020,19567.0,Number of encounters
0,ED,,,,47,11/18/2020,11/24/2020,18974.0,Number of encounters
0,ED,,,,48,11/25/2020,12/01/2020,18297.0,Number of encounters
0,ED,,,,49,12/02/2020,12/08/2020,19185.0,Number of encounters
0,ED,,,,50,12/09/2020,12/15/2020,18612.0,Number of encounters
0,ED,,,,51,12/16/2020,12/22/2020,17713.0,Number of encounters
0,ED,,,,52,12/23/2020,12/29/2020,17214.0,Number of encounters
0,ED,,,,53,12/30/2020,01/05/2021,19909.0,Number of encounters
0,ED,,,,54,01/06/2021,01/12/2021,19896.0,Number of encounters
0,ED,,,,55,01/13/2021,01/19/2021,19717.0,Number of encounters
0,ED,,,,56,01/20/2021,01/26/2021,19795.0,Number of encounters
0,ED,,,,57,01/27/2021,02/02/2021,19015.0,Number of encounters
0,ED,,,,58,02/03/2021,02/09/2021,19947.0,Number of encounters
0,ED,,,,59,02/10/2021,02/16/2021,18606.0,Number of encounters
0,ED,,,,60,02/17/2021,02/23/2021,19468.0,Number of encounters
0,ED,,,,61,02/24/2021,03/02/2021,20445.0,Number of encounters
0,ED,,,,62,03/03/2021,03/09/2021,20526.0,Number of encounters
0,ED,,,,63,03/10/2021,03/16/2021,21059.0,Number of encounters
0,ED,,,,64,03/17/2021,03/23/2021,21922.0,Number of encounters
0,ED,,,,65,03/24/2021,03/30/2021,22745.0,Number of encounters
0,ED,,,,66,03/31/2021,04/06/2021,21966.0,Number of encounters
0,ED,,,,67,04/07/2021,04/13/2021,23274.0,Number of encounters
0,ED,,,,68,04/14/2021,04/20/2021,23497.0,Number of encounters
0,ED,,,,69,04/21/2021,04/27/2021,22941.0,Number of encounters
0,ED,,,,70,04/28/2021,05/04/2021,23507.0,Number of encounters
0,ED,,,,71,05/05/2021,05/11/2021,23331.0,Number of encounters
0,ED,,,,72,05/12/2021,05/18/2021,24043.0,Number of encounters
0,ED,,,,73,05/19/2021,05/25/2021,24256.0,Number of encounters
0,ED,,,,74,05/26/2021,06/01/2021,23684.0,Number of encounters
0,ED,,,,75,06/02/2021,06/08/2021,24703.0,Number of encounters
0,ED,,,,76,06/09/2021,06/15/2021,24617.0,Number of encounters
0,ED,,,,77,06/16/2021,06/22/2021,24606.0,Number of encounters
0,ED,,,,78,06/23/2021,06/29/2021,24626.0,Number of encounters
0,ED,,,,79,06/30/2021,07/06/2021,24892.0,Number of encounters
0,ED,,,,80,07/07/2021,07/13/2021,25187.0,Number of encounters
0,ED,,,,81,07/14/2021,07/20/2021,24623.0,Number of encounters
0,ED,,,,82,07/21/2021,07/27/2021,24066.0,Number of encounters
0,ED,,,,83,07/28/2021,08/03/2021,24389.0,Number of encounters
0,ED,,,,84,08/04/2021,08/10/2021,25169.0,Number of encounters
0,ED,,,,85,08/11/2021,08/17/2021,24804.0,Number of encounters
0,ED,,,,86,08/18/2021,08/24/2021,24998.0,Number of encounters
0,ED,,,,87,08/25/2021,08/31/2021,25671.0,Number of encounters
0,ED,,,,88,09/01/2021,09/07/2021,25260.0,Number of encounters
0,ED,,,,89,09/08/2021,09/14/2021,24876.0,Number of encounters
0,ED,,,,90,09/15/2021,09/21/2021,24559.0,Number of encounters
0,ED,,,,91,09/22/2021,09/28/2021,24275.0,Number of encounters
0,ED,,,,92,09/29/2021,10/05/2021,24390.0,Number of encounters
0,ED,,,,93,10/06/2021,10/12/2021,24013.0,Number of encounters
0,ED,,,,94,10/13/2021,10/19/2021,23676.0,Number of encounters
0,ED,,,,95,10/20/2021,10/26/2021,23277.0,Number of encounters
0,ED,,,,96,10/27/2021,11/02/2021,22934.0,Number of encounters
0,ED,,,,97,11/03/2021,11/09/2021,23671.0,Number of encounters
0,ED,,,,98,11/10/2021,11/16/2021,23592.0,Number of encounters
0,ED,,,,99,11/17/2021,11/23/2021,23222.0,Number of encounters
0,ED,,,,100,11/24/2021,11/30/2021,22630.0,Number of encounters
0,ED,,,,101,12/01/2021,12/07/2021,23825.0,Number of encounters
0,ED,,,,102,12/08/2021,12/14/2021,23120.0,Number of encounters
0,ED,,,,103,12/15/2021,12/21/2021,23208.0,Number of encounters
0,ED,,,,104,12/22/2021,12/28/2021,25905.0,Number of encounters
0,ED,,,,105,12/29/2021,01/04/2022,27754.0,Number of encounters
0,ED,,,,106,01/05/2022,01/11/2022,25278.0,Number of encounters
0,ED,,,,107,01/12/2022,01/18/2022,22897.0,Number of encounters
0,ED,,,,108,01/19/2022,01/25/2022,21916.0,Number of encounters
0,ED,,,,109,01/26/2022,02/01/2022,20851.0,Number of encounters
0,ED,,,,110,02/02/2022,02/08/2022,20957.0,Number of encounters
0,ED,,,,111,02/09/2022,02/15/2022,22317.0,Number of encounters
0,ED,,,,112,02/16/2022,02/22/2022,22814.0,Number of encounters
0,ED,,,,113,02/23/2022,03/01/2022,22598.0,Number of encounters
0,ED,,,,114,03/02/2022,03/08/2022,23681.0,Number of encounters
0,ED,,,,115,03/09/2022,03/15/2022,23583.0,Number of encounters
0,ED,,,,116,03/16/2022,03/22/2022,23864.0,Number of encounters
0,ED,,,,117,03/23/2022,03/29/2022,21624.0,Number of encounters
0,ED,,,,118,03/30/2022,04/05/2022,21528.0,Number of encounters
0,ED,,,,119,04/06/2022,04/12/2022,23355.0,Number of encounters
0,ED,,,,120,04/13/2022,04/19/2022,24693.0,Number of encounters
0,ED,,,,121,04/20/2022,04/26/2022,25453.0,Number of encounters
0,ED,,,,122,04/27/2022,05/03/2022,25535.0,Number of encounters
0,ED,,,,123,05/04/2022,05/10/2022,25926.0,Number of encounters
0,ED,,,,124,05/11/2022,05/17/2022,26975.0,Number of encounters
0,ED,,,,125,05/18/2022,05/24/2022,26552.0,Number of encounters
0,ED,,,,126,05/25/2022,05/31/2022,26389.0,Number of encounters
0,ED,,,,127,06/01/2022,06/07/2022,26144.0,Number of encounters
0,ED,,,,128,06/08/2022,06/14/2022,25634.0,Number of encounters
0,ED,,,,129,06/15/2022,06/21/2022,25964.0,Number of encounters
0,ED,,,,130,06/22/2022,06/28/2022,25870.0,Number of encounters
0,ED,,,,131,06/29/2022,07/05/2022,25580.0,Number of encounters
0,ED,,,,132,07/06/2022,07/12/2022,26348.0,Number of encounters
0,ED,,,,133,07/13/2022,07/19/2022,26105.0,Number of encounters
0,ED,,,,134,07/20/2022,07/26/2022,25943.0,Number of encounters
0,ED,,,,135,07/27/2022,08/02/2022,25873.0,Number of encounters
0,ED,,,,136,08/03/2022,08/09/2022,25777.0,Number of encounters
0,ED,,,,137,08/10/2022,08/16/2022,25933.0,Number of encounters
0,ED,,,,138,08/17/2022,08/23/2022,25778.0,Number of encounters
0,ED,,,,139,08/24/2022,08/30/2022,26159.0,Number of encounters
0,ED,,,,140,08/31/2022,09/06/2022,26880.0,Number of encounters
0,ED,,,,141,09/07/2022,09/13/2022,27106.0,Number of encounters
0,ED,,,,142,09/14/2022,09/20/2022,26959.0,Number of encounters
0,ED,,,,143,09/21/2022,09/27/2022,26951.0,Number of encounters
0,ED,,,,144,09/28/2022,10/04/2022,26506.0,Number of encounters
0,ED,,,,145,10/05/2022,10/11/2022,26934.0,Number of encounters
0,ED,,,,146,10/12/2022,10/18/2022,27446.0,Number of encounters
0,ED,,,,147,10/19/2022,10/25/2022,27871.0,Number of encounters
0,ED,,,,148,10/26/2022,11/01/2022,28005.0,Number of encounters
0,ED,,,,149,11/02/2022,11/08/2022,28899.0,Number of encounters
0,ED,,,,150,11/09/2022,11/15/2022,27592.0,Number of encounters
0,ED,,,,151,11/16/2022,11/22/2022,27222.0,Number of encounters
0,ED,,,,152,11/23/2022,11/29/2022,27467.0,Number of encounters
0,ED,,,,153,11/30/2022,12/06/2022,27414.0,Number of encounters
0,ED,,,,154,12/07/2022,12/13/2022,27073.0,Number of encounters
0,ED,,,,155,12/14/2022,12/20/2022,25577.0,Number of encounters
0,ED,,,,156,12/21/2022,12/27/2022,23774.0,Number of encounters
0,ED,,,,157,12/28/2022,01/03/2023,25628.0,Number of encounters
0,ED,,,,158,01/04/2023,01/10/2023,25109.0,Number of encounters
0,ED,,,,159,01/11/2023,01/17/2023,24043.0,Number of encounters
0,ED,,,,160,01/18/2023,01/24/2023,23904.0,Number of encounters
0,ED,,,,161,01/25/2023,01/31/2023,23581.0,Number of encounters
0,ED,,,,162,02/01/2023,02/07/2023,24256.0,Number of encounters
0,ED,,,,163,02/08/2023,02/14/2023,25309.0,Number of encounters
0,ED,,,,164,02/15/2023,02/21/2023,25915.0,Number of encounters
0,ED,,,,165,02/22/2023,02/28/2023,25644.0,Number of encounters
0,ED,,,,166,03/01/2023,03/07/2023,25786.0,Number of encounters
0,ED,,,,167,03/08/2023,03/14/2023,25380.0,Number of encounters
0,ED,,,,168,03/15/2023,03/21/2023,25536.0,Number of encounters
0,ED,,,,169,03/22/2023,03/28/2023,26296.0,Number of encounters
0,ED,,,,170,03/29/2023,04/04/2023,25829.0,Number of encounters
0,ED,,,,171,04/05/2023,04/11/2023,25335.0,Number of encounters
0,ED,,,,172,04/12/2023,04/18/2023,26595.0,Number of encounters
0,ED,,,,173,04/19/2023,04/25/2023,25897.0,Number of encounters
0,ED,,,,174,04/26/2023,05/02/2023,26217.0,Number of encounters
0,ED,,,,175,05/03/2023,05/09/2023,26546.0,Number of encounters
0,ED,,,,176,05/10/2023,05/16/2023,26435.0,Number of encounters
0,ED,,,,177,05/17/2023,05/23/2023,25831.0,Number of encounters
0,ED,,,,178,05/24/2023,05/30/2023,25958.0,Number of encounters
0,ED,,,,179,05/31/2023,06/06/2023,26265.0,Number of encounters
0,ED,,,,180,06/07/2023,06/13/2023,25724.0,Number of encounters
0,ED,,,,181,06/14/2023,06/20/2023,25231.0,Number of encounters
0,ED,,,,182,06/21/2023,06/27/2023,25579.0,Number of encounters
0,ED,,,,183,06/28/2023,07/04/2023,25185.0,Number of encounters
0,ED,,,,184,07/05/2023,07/11/2023,26360.0,Number of encounters
0,ED,,,,185,07/12/2023,07/18/2023,26028.0,Number of encounters
0,ED,,,,186,07/19/2023,07/25/2023,25964.0,Number of encounters
0,ED,,,,187,07/26/2023,08/01/2023,25341.0,Number of encounters
0,ED,,,,188,08/02/2023,08/08/2023,25388.0,Number of encounters
0,ED,,,,189,08/09/2023,08/15/2023,26230.0,Number of encounters
0,ED,,,,190,08/16/2023,08/22/2023,26198.0,Number of encounters
0,ED,,,,191,08/23/2023,08/29/2023,26766.0,Number of encounters
0,ED,,,,192,08/30/2023,09/05/2023,26269.0,Number of encounters
0,ED,,,,193,09/06/2023,09/12/2023,26728.0,Number of encounters
0,ED,,,,194,09/13/2023,09/19/2023,26319.0,Number of encounters
0,ED,,,,195,09/20/2023,09/26/2023,26607.0,Number of encounters
0,ED,,,,196,09/27/2023,10/03/2023,26477.0,Number of encounters
0,ED,,,,197,10/04/2023,10/10/2023,26317.0,Number of encounters
0,ED,,,,198,10/11/2023,10/17/2023,25845.0,Number of encounters
0,ED,,,,199,10/18/2023,10/24/2023,26322.0,Number of encounters
0,ED,,,,200,10/25/2023,10/31/2023,25842.0,Number of encounters
0,ED,,,,201,11/01/2023,11/07/2023,26465.0,Number of encounters
0,ED,,,,202,11/08/2023,11/14/2023,25871.0,Number of encounters
0,ED,,,,203,11/15/2023,11/21/2023,26276.0,Number of encounters
0,ED,,,,204,11/22/2023,11/28/2023,24945.0,Number of encounters
0,ED,,,,205,11/29/2023,12/05/2023,26652.0,Number of encounters
0,ED,,,,206,12/06/2023,12/12/2023,26382.0,Number of encounters
0,ED,,,,207,12/13/2023,12/19/2023,26433.0,Number of encounters
0,ED,,,,208,12/20/2023,12/26/2023,26055.0,Number of encounters
0,IP,,,,12,03/18/2020,03/24/2020,6006.0,Number of encounters
